date,year,mo,da,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,crime_date,crime_count
2016-03-12,2016,03,12,43.3,36.6,1022.3,7.8,3.7,8.9,999.9,59.0,33.1,0.0,999.9,0,2016-03-12,746
2016-03-13,2016,03,13,46.8,42.8,1012.3,6.4,8.0,15.0,20.0,59.0,33.1,0.33,999.9,0,2016-03-13,628
2016-03-30,2016,03,30,48.9,35.0,1014.3,10.0,11.3,21.0,32.1,62.1,31.1,0.0,999.9,0,2016-03-30,717
2016-03-27,2016,03,27,46.9,37.8,1015.2,9.3,6.8,15.0,999.9,63.0,31.1,0.0,999.9,0,2016-03-27,631
2016-03-22,2016,03,22,47.8,31.3,1010.0,10.0,10.2,18.1,26.0,63.0,37.0,0.0,999.9,0,2016-03-22,722
2016-03-10,2016,03,10,49.0,40.9,1017.3,10.0,6.7,12.0,999.9,63.0,45.0,0.01,999.9,0,2016-03-10,716
2016-03-07,2016,03,07,51.3,39.9,1012.2,10.0,13.0,18.1,22.0,63.0,34.0,0.0,999.9,0,2016-03-07,795
2016-03-28,2016,03,28,45.1,36.9,1015.7,9.9,10.8,15.0,21.0,63.0,36.0,0.32,999.9,0,2016-03-28,742
2016-03-31,2016,03,31,59.8,54.5,996.4,9.1,16.3,27.0,38.1,66.9,42.1,0.16,999.9,0,2016-03-31,754
2016-03-09,2016,03,09,61.1,55.1,1010.8,9.2,10.6,21.0,28.0,70.0,57.0,0.17,999.9,0,2016-03-09,680
2016-03-08,2016,03,08,61.8,49.6,1011.3,10.0,13.3,22.0,28.9,70.0,46.0,0.03,999.9,0,2016-03-08,724
2016-04-08,2016,04,08,36.9,27.7,1010.2,7.8,11.0,22.9,34.0,41.0,32.0,0.06,999.9,0,2016-04-08,626
2016-04-09,2016,04,09,30.0,15.1,1021.1,9.6,11.8,22.0,33.0,41.0,21.9,0.1,1.2,1,2016-04-09,689
2016-04-02,2016,04,02,35.2,25.1,1007.7,8.0,15.8,33.0,47.0,42.1,30.2,0.08,999.9,1,2016-04-02,651
2016-04-05,2016,04,05,33.5,18.2,1029.5,10.0,7.5,15.9,22.0,45.0,24.1,0.0,999.9,0,2016-04-05,677
2016-04-10,2016,04,10,37.1,27.1,1016.4,8.9,14.3,20.0,27.0,46.9,21.9,0.03,999.9,0,2016-04-10,705
2016-04-27,2016,04,27,44.0,38.4,1013.2,9.0,12.6,17.1,22.9,46.9,41.0,0.0,999.9,0,2016-04-27,662
2016-04-06,2016,04,06,44.5,37.6,1008.9,8.2,10.2,15.9,21.0,48.9,41.0,0.12,999.9,0,2016-04-06,660
2016-04-28,2016,04,28,44.9,40.7,1011.8,8.5,10.1,15.9,24.1,50.0,41.0,0.91,999.9,0,2016-04-28,733
2016-04-07,2016,04,07,40.0,33.8,1004.4,9.1,12.5,18.1,24.1,50.0,33.1,0.21,999.9,0,2016-04-07,743
2016-04-30,2016,04,30,44.8,39.9,1017.8,7.1,10.3,20.0,26.0,51.1,42.1,0.01,999.9,0,2016-04-30,605
2016-04-11,2016,04,11,47.7,38.8,1011.0,7.5,10.3,19.0,26.0,51.1,33.1,0.07,999.9,0,2016-04-11,676
2016-04-12,2016,04,12,39.7,21.5,1024.7,10.0,8.0,15.0,15.9,51.1,30.0,0.0,999.9,0,2016-04-12,701
2016-04-29,2016,04,29,44.3,39.9,1018.1,6.9,7.6,12.0,19.0,51.1,41.0,0.02,999.9,0,2016-04-29,720
2016-04-13,2016,04,13,42.7,26.8,1027.0,10.0,6.9,12.0,999.9,55.9,30.2,0.0,999.9,0,2016-04-13,716
2016-04-23,2016,04,23,47.6,37.8,1021.4,10.0,7.2,13.0,17.1,60.1,37.9,0.0,999.9,0,2016-04-23,694
2016-04-14,2016,04,14,47.7,29.0,1024.7,10.0,6.7,11.1,999.9,61.0,34.0,0.0,999.9,0,2016-04-14,691
2016-04-01,2016,04,01,44.9,37.0,1005.1,9.9,8.3,20.0,28.9,66.9,39.9,0.36,999.9,0,2016-04-01,834
2016-04-15,2016,04,15,53.5,31.7,1023.0,10.0,6.7,9.9,999.9,68.0,37.0,0.0,999.9,0,2016-04-15,812
2016-04-22,2016,04,22,51.2,44.0,1013.8,8.9,9.5,20.0,22.0,70.0,44.1,0.01,999.9,0,2016-04-22,732
2016-04-20,2016,04,20,58.1,41.6,1019.1,10.0,9.0,13.0,17.1,71.1,46.0,0.0,999.9,0,2016-04-20,690
2016-04-21,2016,04,21,61.6,52.8,1010.3,7.0,6.7,20.0,28.9,71.1,55.9,0.49,999.9,0,2016-04-21,715
2016-04-16,2016,04,16,57.6,38.4,1024.7,9.9,6.0,12.0,999.9,75.9,41.0,0.0,999.9,0,2016-04-16,734
2016-04-24,2016,04,24,56.2,42.6,1015.5,10.0,6.9,12.0,17.1,78.1,37.9,0.0,999.9,0,2016-04-24,756
